"category","currency","delivery_date","dispatch_date","modified_at","order_date","order_ref","product","qty","status","supplier","expected_delivery"
"equipment","JPY","","","16/09/2024","16/09/2024","93","Ultra Sensor","58","Raised","LabTech Solutions","14/10/2024"
"equipment","JPY","","24/09/2024","24/09/2024","16/09/2024","93","Ultra Sensor","58","Dispatched","LabTech Solutions","14/10/2024"
"equipment","JPY","19/10/2024","24/09/2024","19/10/2024","16/09/2024","93","Ultra Sensor","58","Delivered","LabTech Solutions","14/10/2024"
"consumables","GBP","","","06/06/2024","06/06/2024","94","Regular Reagent","5","Raised","ChemSupply Ltd","14/06/2024"
"consumables","GBP","","10/06/2024","10/06/2024","06/06/2024","94","Regular Reagent","5","Dispatched","ChemSupply Ltd","14/06/2024"
"consumables","GBP","14/06/2024","10/06/2024","14/06/2024","06/06/2024","94","Regular Reagent","5","Delivered","ChemSupply Ltd","14/06/2024"
"consumables","USD","","","29/05/2024","29/05/2024","95","Suspiciously Cheap Filter","10","Raised","[REDACTED]","22/06/2024"
"consumables","USD","","10/06/2024","10/06/2024","29/05/2024","95","Suspiciously Cheap Filter","10","Dispatched","[REDACTED]","22/06/2024"
"equipment","JPY","","","04/02/2024","04/02/2024","96","Regular Probe","78","Raised","LabTech Solutions","03/03/2024"
"equipment","JPY","","","05/02/2024","04/02/2024","96","Regular Probe","8","Raised","LabTech Solutions","03/03/2024"
"equipment","JPY","","08/02/2024","08/02/2024","04/02/2024","96","Regular Probe","8","Dispatched","LabTech Solutions","03/03/2024"
"equipment","JPY","11/03/2024","08/02/2024","11/03/2024","04/02/2024","96","Regular Probe","8","Delivered","LabTech Solutions","03/03/2024"
"consumables","USD","","","23/12/2024","23/12/2024","97","Unstable Solvent","91","Raised","[REDACTED]","16/01/2025"
"consumables","USD","","26/12/2024","26/12/2024","23/12/2024","97","Unstable Solvent","91","Dispatched","[REDACTED]","16/01/2025"
"consumables","USD","15/01/2025","26/12/2024","15/01/2025","23/12/2024","97","Unstable Solvent","91","Delivered","[REDACTED]","16/01/2025"
"equipment","JPY","","","04/04/2024","04/04/2024","98","Performance Calibrator","23","Raised","LabTech Solutions","02/05/2024"
"equipment","JPY","","","05/04/2024","04/04/2024","98","Performance Calibrator","20","Raised","LabTech Solutions","02/05/2024"
"equipment","JPY","","15/04/2024","15/04/2024","04/04/2024","98","Performance Calibrator","20","Dispatched","LabTech Solutions","02/05/2024"
"consumables","USD","","","16/12/2024","16/12/2024","99","Suspiciously Cheap Filter","93","Raised","[REDACTED]","09/01/2025"
"consumables","USD","","19/12/2024","19/12/2024","16/12/2024","99","Suspiciously Cheap Filter","93","Dispatched","[REDACTED]","09/01/2025"
"consumables","USD","31/12/2024","19/12/2024","31/12/2024","16/12/2024","99","Suspiciously Cheap Filter","93","Delivered","[REDACTED]","09/01/2025"
"consumables","GBP","","","18/09/2024","18/09/2024","100","General-Purpose Reagent","56","Raised","ChemSupply Ltd","26/09/2024"
"consumables","GBP","","19/09/2024","19/09/2024","18/09/2024","100","General-Purpose Reagent","56","Dispatched","ChemSupply Ltd","26/09/2024"
"consumables","GBP","24/09/2024","19/09/2024","24/09/2024","18/09/2024","100","General-Purpose Reagent","56","Delivered","ChemSupply Ltd","26/09/2024"
"equipment","JPY","","","13/12/2024","13/12/2024","101","Ordinary Calibrator","34","Raised","LabTech Solutions","10/01/2025"
"equipment","JPY","","19/12/2024","19/12/2024","13/12/2024","101","Ordinary Calibrator","34","Dispatched","LabTech Solutions","10/01/2025"
"equipment","JPY","03/01/2025","19/12/2024","03/01/2025","13/12/2024","101","Ordinary Calibrator","34","Delivered","LabTech Solutions","10/01/2025"
"reference","GBP","","","03/01/2024","03/01/2024","102","TEST ITEM - DO NOT USE","58","Raised","SYSTEM_TEST","05/01/2024"
"reference","GBP","","04/01/2024","04/01/2024","03/01/2024","102","TEST ITEM - DO NOT USE","58","Dispatched","SYSTEM_TEST","05/01/2024"
"consumables","USD","","","05/07/2024","05/07/2024","103","Unlabelled Solvent","90","Raised","[REDACTED]","29/07/2024"
"consumables","USD","","20/07/2024","20/07/2024","05/07/2024","103","Unlabelled Solvent","90","Dispatched","[REDACTED]","29/07/2024"
"equipment","JPY","","","27/08/2024","27/08/2024","104","Performance Sensor","5","Raised","LabTech Solutions","24/09/2024"
"equipment","JPY","","","29/08/2024","27/08/2024","104","Performance Sensor","67","Raised","LabTech Solutions","24/09/2024"
"equipment","JPY","","02/09/2024","02/09/2024","27/08/2024","104","Performance Sensor","67","Dispatched","LabTech Solutions","24/09/2024"
"equipment","JPY","","","15/07/2024","15/07/2024","105","Standard Sensor","48","Raised","LabTech Solutions","12/08/2024"
"equipment","JPY","","","15/07/2024","15/07/2024","105","Standard Sensor","48","Raised","LabTech Solutions","12/08/2024"
"equipment","JPY","","","21/07/2024","15/07/2024","105","Standard Sensor","92","Raised","LabTech Solutions","12/08/2024"
"equipment","JPY","","22/07/2024","22/07/2024","15/07/2024","105","Standard Sensor","92","Dispatched","LabTech Solutions","12/08/2024"
"equipment","JPY","16/08/2024","22/07/2024","16/08/2024","15/07/2024","105","Standard Sensor","92","Delivered","LabTech Solutions","12/08/2024"
"equipment","USD","","","18/07/2024","18/07/2024","106","Unlabelled Calibrator","58","Raised","[REDACTED]","11/08/2024"
"equipment","USD","","","23/04/2024","23/04/2024","107","Untraceable Extra Probe","57","Raised","[REDACTED]","17/05/2024"
"equipment","USD","","08/05/2024","08/05/2024","23/04/2024","107","Untraceable Extra Probe","57","Dispatched","[REDACTED]","17/05/2024"
"equipment","USD","02/06/2024","08/05/2024","02/06/2024","23/04/2024","107","Untraceable Extra Probe","57","Delivered","[REDACTED]","17/05/2024"
"consumables","USD","","","25/11/2024","25/11/2024","108","Unlabelled Filter","13","Raised","[REDACTED]","19/12/2024"
"consumables","USD","","06/12/2024","06/12/2024","25/11/2024","108","Unlabelled Filter","13","Dispatched","[REDACTED]","19/12/2024"
"equipment","JPY","","","24/06/2024","24/06/2024","109","Ultra Calibrator","95","Raised","LabTech Solutions","22/07/2024"
"equipment","JPY","","03/07/2024","03/07/2024","24/06/2024","109","Ultra Calibrator","95","Dispatched","LabTech Solutions","22/07/2024"
"equipment","JPY","27/07/2024","03/07/2024","27/07/2024","24/06/2024","109","Ultra Calibrator","95","Delivered","LabTech Solutions","22/07/2024"
"consumables","USD","","","14/11/2024","14/11/2024","110","Bargain Solvent","69","Raised","BulkChem Inc","19/12/2024"
"consumables","USD","","27/11/2024","27/11/2024","14/11/2024","110","Bargain Solvent","69","Dispatched","BulkChem Inc","19/12/2024"
"consumables","USD","07/12/2024","27/11/2024","07/12/2024","14/11/2024","110","Bargain Solvent","69","Delivered","BulkChem Inc","19/12/2024"
"consumables","USD","","","04/08/2024","04/08/2024","111","Approved Reagent","37","Raised","BulkChem Inc","08/09/2024"
"equipment","USD","","","07/06/2024","07/06/2024","112","Unstable Calibrator","26","Raised","[REDACTED]","01/07/2024"
"equipment","USD","","14/06/2024","14/06/2024","07/06/2024","112","Unstable Calibrator","26","Dispatched","[REDACTED]","01/07/2024"
"equipment","USD","24/06/2024","14/06/2024","24/06/2024","07/06/2024","112","Unstable Calibrator","26","Delivered","[REDACTED]","01/07/2024"
"consumables","GBP","","","24/02/2024","24/02/2024","113","Regular Filter","2","Raised","ChemSupply Ltd","03/03/2024"
"consumables","GBP","","27/02/2024","27/02/2024","24/02/2024","113","Regular Filter","2","Dispatched","ChemSupply Ltd","03/03/2024"
"consumables","GBP","01/03/2024","27/02/2024","01/03/2024","24/02/2024","113","Regular Filter","2","Delivered","ChemSupply Ltd","03/03/2024"
"consumables","GBP","","","21/11/2024","21/11/2024","114","Regular Solvent","35","Raised","ChemSupply Ltd","29/11/2024"
"consumables","GBP","","25/11/2024","25/11/2024","21/11/2024","114","Regular Solvent","35","Dispatched","ChemSupply Ltd","29/11/2024"
"consumables","GBP","28/11/2024","25/11/2024","28/11/2024","21/11/2024","114","Regular Solvent","35","Delivered","ChemSupply Ltd","29/11/2024"
"equipment","USD","","","27/05/2024","27/05/2024","115","Unstable Calibrator","8","Raised","[REDACTED]","20/06/2024"
"equipment","USD","","06/06/2024","06/06/2024","27/05/2024","115","Unstable Calibrator","8","Dispatched","[REDACTED]","20/06/2024"
"equipment","USD","16/06/2024","06/06/2024","16/06/2024","27/05/2024","115","Unstable Calibrator","8","Delivered","[REDACTED]","20/06/2024"
"consumables","GBP","","","10/03/2024","10/03/2024","116","General-Purpose Reagent","96","Raised","ChemSupply Ltd","18/03/2024"
"equipment","USD","","","01/07/2024","01/07/2024","117","Unlabelled Sensor","84","Raised","[REDACTED]","25/07/2024"
"equipment","USD","","07/07/2024","07/07/2024","01/07/2024","117","Unlabelled Sensor","84","Dispatched","[REDACTED]","25/07/2024"
"equipment","USD","23/07/2024","07/07/2024","23/07/2024","01/07/2024","117","Unlabelled Sensor","84","Delivered","[REDACTED]","25/07/2024"
"equipment","USD","","","18/08/2024","18/08/2024","118","Untraceable Extra Sensor","83","Raised","[REDACTED]","11/09/2024"
"equipment","USD","","25/08/2024","25/08/2024","18/08/2024","118","Untraceable Extra Sensor","83","Dispatched","[REDACTED]","11/09/2024"
"equipment","USD","10/09/2024","25/08/2024","10/09/2024","18/08/2024","118","Untraceable Extra Sensor","83","Delivered","[REDACTED]","11/09/2024"
"reference","GBP","","","19/02/2024","19/02/2024","119","TEST ITEM - DO NOT USE","91","Raised","SYSTEM_TEST","21/02/2024"
"reference","GBP","","20/02/2024","20/02/2024","19/02/2024","119","TEST ITEM - DO NOT USE","91","Dispatched","SYSTEM_TEST","21/02/2024"
"reference","GBP","21/02/2024","20/02/2024","21/02/2024","19/02/2024","119","TEST ITEM - DO NOT USE","91","Delivered","SYSTEM_TEST","21/02/2024"
"equipment","JPY","","","27/11/2024","27/11/2024","120","Regular Sensor","80","Raised","LabTech Solutions","25/12/2024"
"equipment","JPY","","","02/12/2024","27/11/2024","120","Regular Sensor","55","Raised","LabTech Solutions","25/12/2024"
"equipment","JPY","","04/12/2024","04/12/2024","27/11/2024","120","Regular Sensor","55","Dispatched","LabTech Solutions","25/12/2024"
"equipment","JPY","27/12/2024","04/12/2024","27/12/2024","27/11/2024","120","Regular Sensor","55","Delivered","LabTech Solutions","25/12/2024"
"consumables","USD","","","08/04/2024","08/04/2024","121","Bargain Reagent","61","Raised","BulkChem Inc","13/05/2024"
"consumables","USD","","18/04/2024","18/04/2024","08/04/2024","121","Bargain Reagent","61","Dispatched","BulkChem Inc","13/05/2024"
"consumables","USD","06/05/2024","18/04/2024","06/05/2024","08/04/2024","121","Bargain Reagent","61","Delivered","BulkChem Inc","13/05/2024"
"consumables","GBP","","","08/08/2024","08/08/2024","122","Ordinary Solvent","2","Raised","ChemSupply Ltd","16/08/2024"
"consumables","GBP","","12/08/2024","12/08/2024","08/08/2024","122","Ordinary Solvent","2","Dispatched","ChemSupply Ltd","16/08/2024"
"consumables","GBP","18/08/2024","12/08/2024","18/08/2024","08/08/2024","122","Ordinary Solvent","2","Delivered","ChemSupply Ltd","16/08/2024"
"consumables","GBP","","","30/12/2024","30/12/2024","123","Standard Reagent","30","Raised","ChemSupply Ltd","07/01/2025"
"consumables","GBP","","","31/12/2024","30/12/2024","123","Standard Reagent","79","Raised","ChemSupply Ltd","07/01/2025"
"consumables","GBP","","","25/07/2024","25/07/2024","124","High-Grade Reagent","77","Raised","ChemSupply Ltd","02/08/2024"
"consumables","GBP","","28/07/2024","28/07/2024","25/07/2024","124","High-Grade Reagent","77","Dispatched","ChemSupply Ltd","02/08/2024"
"consumables","USD","","","26/02/2024","26/02/2024","125","Mass-Produced Solvent","36","Raised","BulkChem Inc","01/04/2024"
"consumables","USD","","08/03/2024","08/03/2024","26/02/2024","125","Mass-Produced Solvent","36","Dispatched","BulkChem Inc","01/04/2024"
"consumables","USD","20/03/2024","08/03/2024","20/03/2024","26/02/2024","125","Mass-Produced Solvent","36","Delivered","BulkChem Inc","01/04/2024"
"consumables","USD","","","27/03/2024","27/03/2024","126","Budget Reagent","18","Raised","BulkChem Inc","01/05/2024"
"consumables","USD","","18/04/2024","18/04/2024","27/03/2024","126","Budget Reagent","18","Dispatched","BulkChem Inc","01/05/2024"
"consumables","USD","18/05/2024","18/04/2024","18/05/2024","27/03/2024","126","Budget Reagent","18","Delivered","BulkChem Inc","01/05/2024"
"reference","GBP","","","30/04/2024","30/04/2024","127","TEST ITEM - DO NOT USE","58","Raised","SYSTEM_TEST","02/05/2024"
"reference","GBP","","01/05/2024","01/05/2024","30/04/2024","127","TEST ITEM - DO NOT USE","58","Dispatched","SYSTEM_TEST","02/05/2024"
"consumables","GBP","","","18/04/2024","18/04/2024","128","Standard Filter","43","Raised","ChemSupply Ltd","26/04/2024"
"consumables","USD","","","13/06/2024","13/06/2024","129","Regulation Reagent","96","Raised","BulkChem Inc","18/07/2024"
"consumables","USD","","21/06/2024","21/06/2024","13/06/2024","129","Regulation Reagent","96","Dispatched","BulkChem Inc","18/07/2024"
"consumables","USD","06/07/2024","21/06/2024","06/07/2024","13/06/2024","129","Regulation Reagent","96","Delivered","BulkChem Inc","18/07/2024"
"consumables","USD","","","11/10/2024","11/10/2024","130","Discount Filter","57","Raised","BulkChem Inc","15/11/2024"
"consumables","USD","","06/11/2024","06/11/2024","11/10/2024","130","Discount Filter","57","Dispatched","BulkChem Inc","15/11/2024"
"consumables","USD","07/12/2024","06/11/2024","07/12/2024","11/10/2024","130","Discount Filter","57","Delivered","BulkChem Inc","15/11/2024"
"consumables","GBP","","","18/01/2024","18/01/2024","131","General-Purpose Solvent","29","Raised","ChemSupply Ltd","26/01/2024"
"consumables","GBP","","20/01/2024","20/01/2024","18/01/2024","131","General-Purpose Solvent","29","Dispatched","ChemSupply Ltd","26/01/2024"
"consumables","GBP","27/01/2024","20/01/2024","27/01/2024","18/01/2024","131","General-Purpose Solvent","29","Delivered","ChemSupply Ltd","26/01/2024"
"consumables","GBP","","","25/07/2024","25/07/2024","132","Premium-Quality Reagent","52","Raised","ChemSupply Ltd","02/08/2024"
"consumables","USD","","","29/11/2024","29/11/2024","133","Budget Filter","51","Raised","BulkChem Inc","03/01/2025"
"consumables","USD","","10/12/2024","10/12/2024","29/11/2024","133","Budget Filter","51","Dispatched","BulkChem Inc","03/01/2025"
"consumables","USD","22/12/2024","10/12/2024","22/12/2024","29/11/2024","133","Budget Filter","51","Delivered","BulkChem Inc","03/01/2025"
"consumables","USD","","","12/10/2024","12/10/2024","134","Budget Reagent","10","Raised","BulkChem Inc","16/11/2024"
"consumables","USD","","27/10/2024","27/10/2024","12/10/2024","134","Budget Reagent","10","Dispatched","BulkChem Inc","16/11/2024"
"consumables","USD","","","26/01/2024","26/01/2024","135","Approved Reagent","34","Raised","BulkChem Inc","01/03/2024"
"consumables","USD","","10/02/2024","10/02/2024","26/01/2024","135","Approved Reagent","34","Dispatched","BulkChem Inc","01/03/2024"
"consumables","USD","25/02/2024","10/02/2024","25/02/2024","26/01/2024","135","Approved Reagent","34","Delivered","BulkChem Inc","01/03/2024"
"consumables","USD","","","20/05/2024","20/05/2024","136","Unlabelled Reagent","85","Raised","[REDACTED]","13/06/2024"
"reference","GBP","","","04/05/2024","04/05/2024","137","TEST ITEM - DO NOT USE","29","Raised","SYSTEM_TEST","06/05/2024"
"reference","GBP","","05/05/2024","05/05/2024","04/05/2024","137","TEST ITEM - DO NOT USE","29","Dispatched","SYSTEM_TEST","06/05/2024"
"consumables","GBP","","","29/01/2024","29/01/2024","138","Premium-Quality Reagent","73","Raised","ChemSupply Ltd","06/02/2024"
"consumables","GBP","","01/02/2024","01/02/2024","29/01/2024","138","Premium-Quality Reagent","73","Dispatched","ChemSupply Ltd","06/02/2024"
"consumables","GBP","12/02/2024","01/02/2024","12/02/2024","29/01/2024","138","Premium-Quality Reagent","73","Delivered","ChemSupply Ltd","06/02/2024"
"reference","GBP","","","25/02/2024","25/02/2024","139","TEST ITEM - DO NOT USE","69","Raised","SYSTEM_TEST","27/02/2024"
"consumables","USD","","","11/08/2024","11/08/2024","140","Approved Solvent","17","Raised","BulkChem Inc","15/09/2024"
"consumables","USD","","23/08/2024","23/08/2024","11/08/2024","140","Approved Solvent","17","Dispatched","BulkChem Inc","15/09/2024"
"consumables","GBP","","","02/10/2024","02/10/2024","141","Ordinary Filter","4","Raised","ChemSupply Ltd","10/10/2024"
"consumables","GBP","","06/10/2024","06/10/2024","02/10/2024","141","Ordinary Filter","4","Dispatched","ChemSupply Ltd","10/10/2024"
"consumables","GBP","09/10/2024","06/10/2024","09/10/2024","02/10/2024","141","Ordinary Filter","4","Delivered","ChemSupply Ltd","10/10/2024"
"consumables","GBP","","","05/04/2024","05/04/2024","142","Regular Solvent","8","Raised","ChemSupply Ltd","13/04/2024"
"consumables","GBP","","","07/04/2024","05/04/2024","142","Regular Solvent","8","Raised","ChemSupply Ltd","13/04/2024"
"consumables","GBP","","08/04/2024","08/04/2024","05/04/2024","142","Regular Solvent","8","Dispatched","ChemSupply Ltd","13/04/2024"
"reference","GBP","","","20/09/2024","20/09/2024","143","TEST ITEM - DO NOT USE","29","Raised","SYSTEM_TEST","22/09/2024"
"reference","GBP","","","19/05/2024","19/05/2024","144","TEST ITEM - DO NOT USE","28","Raised","SYSTEM_TEST","21/05/2024"
"reference","GBP","","20/05/2024","20/05/2024","19/05/2024","144","TEST ITEM - DO NOT USE","28","Dispatched","SYSTEM_TEST","21/05/2024"
"reference","GBP","21/05/2024","20/05/2024","21/05/2024","19/05/2024","144","TEST ITEM - DO NOT USE","28","Delivered","SYSTEM_TEST","21/05/2024"
"equipment","JPY","","","01/11/2024","01/11/2024","145","Hyper Probe","24","Raised","LabTech Solutions","29/11/2024"
"equipment","JPY","","12/11/2024","12/11/2024","01/11/2024","145","Hyper Probe","24","Dispatched","LabTech Solutions","29/11/2024"
"equipment","JPY","28/11/2024","12/11/2024","28/11/2024","01/11/2024","145","Hyper Probe","24","Delivered","LabTech Solutions","29/11/2024"
"consumables","GBP","","","02/09/2024","02/09/2024","146","Ordinary Reagent","74","Raised","ChemSupply Ltd","10/09/2024"
"consumables","USD","","","20/12/2024","20/12/2024","147","Unstable Filter","100","Raised","[REDACTED]","13/01/2025"
"consumables","USD","","31/12/2024","31/12/2024","20/12/2024","147","Unstable Filter","100","Dispatched","[REDACTED]","13/01/2025"
"consumables","USD","","","05/08/2024","05/08/2024","148","Unstable Filter","13","Raised","[REDACTED]","29/08/2024"
"consumables","USD","","15/08/2024","15/08/2024","05/08/2024","148","Unstable Filter","13","Dispatched","[REDACTED]","29/08/2024"
"consumables","USD","02/09/2024","15/08/2024","02/09/2024","05/08/2024","148","Unstable Filter","13","Delivered","[REDACTED]","29/08/2024"
"reference","GBP","","","15/12/2024","15/12/2024","149","TEST ITEM - DO NOT USE","22","Raised","SYSTEM_TEST","17/12/2024"
"reference","GBP","","16/12/2024","16/12/2024","15/12/2024","149","TEST ITEM - DO NOT USE","22","Dispatched","SYSTEM_TEST","17/12/2024"
"reference","GBP","17/12/2024","16/12/2024","17/12/2024","15/12/2024","149","TEST ITEM - DO NOT USE","22","Delivered","SYSTEM_TEST","17/12/2024"
"consumables","GBP","","","05/08/2024","05/08/2024","150","Regular Reagent","15","Raised","ChemSupply Ltd","13/08/2024"
"consumables","GBP","","06/08/2024","06/08/2024","05/08/2024","150","Regular Reagent","15","Dispatched","ChemSupply Ltd","13/08/2024"
"consumables","GBP","","","23/02/2024","23/02/2024","151","Standard Filter","71","Raised","ChemSupply Ltd","02/03/2024"
"consumables","GBP","","","14/06/2024","14/06/2024","152","Standard Filter","36","Raised","ChemSupply Ltd","22/06/2024"
"consumables","GBP","","17/06/2024","17/06/2024","14/06/2024","152","Standard Filter","36","Dispatched","ChemSupply Ltd","22/06/2024"
"consumables","GBP","22/06/2024","17/06/2024","22/06/2024","14/06/2024","152","Standard Filter","36","Delivered","ChemSupply Ltd","22/06/2024"
"consumables","USD","","","28/05/2024","28/05/2024","153","Unstable Solvent","29","Raised","[REDACTED]","21/06/2024"
"consumables","USD","","","30/05/2024","28/05/2024","153","Unstable Solvent","73","Raised","[REDACTED]","21/06/2024"
"consumables","USD","","31/05/2024","31/05/2024","28/05/2024","153","Unstable Solvent","73","Dispatched","[REDACTED]","21/06/2024"
"consumables","USD","","31/05/2024","31/05/2024","28/05/2024","153","Unstable Solvent","73","Dispatched","[REDACTED]","21/06/2024"
"consumables","GBP","","","22/01/2024","22/01/2024","154","Ordinary Filter","48","Raised","ChemSupply Ltd","30/01/2024"
"consumables","GBP","","","24/01/2024","22/01/2024","154","Ordinary Filter","39","Raised","ChemSupply Ltd","30/01/2024"
"consumables","GBP","","26/01/2024","26/01/2024","22/01/2024","154","Ordinary Filter","39","Dispatched","ChemSupply Ltd","30/01/2024"
"consumables","GBP","31/01/2024","26/01/2024","31/01/2024","22/01/2024","154","Ordinary Filter","39","Delivered","ChemSupply Ltd","30/01/2024"
"reference","GBP","","","11/07/2024","11/07/2024","155","TEST ITEM - DO NOT USE","42","Raised","SYSTEM_TEST","13/07/2024"
"reference","GBP","","","27/01/2024","27/01/2024","156","TEST ITEM - DO NOT USE","31","Raised","SYSTEM_TEST","29/01/2024"
"reference","GBP","","28/01/2024","28/01/2024","27/01/2024","156","TEST ITEM - DO NOT USE","31","Dispatched","SYSTEM_TEST","29/01/2024"
"reference","GBP","29/01/2024","28/01/2024","29/01/2024","27/01/2024","156","TEST ITEM - DO NOT USE","31","Delivered","SYSTEM_TEST","29/01/2024"
"consumables","GBP","","","21/02/2024","21/02/2024","157","Ordinary Filter","84","Raised","ChemSupply Ltd","29/02/2024"
"equipment","JPY","","","23/03/2024","23/03/2024","158","Precision Sensor","45","Raised","LabTech Solutions","20/04/2024"
"equipment","JPY","","01/04/2024","01/04/2024","23/03/2024","158","Precision Sensor","45","Dispatched","LabTech Solutions","20/04/2024"
"equipment","JPY","16/04/2024","01/04/2024","16/04/2024","23/03/2024","158","Precision Sensor","45","Delivered","LabTech Solutions","20/04/2024"
"equipment","JPY","","","05/12/2024","05/12/2024","159","Ultra Sensor","78","Raised","LabTech Solutions","02/01/2025"
"equipment","JPY","","15/12/2024","15/12/2024","05/12/2024","159","Ultra Sensor","78","Dispatched","LabTech Solutions","02/01/2025"
"consumables","USD","","","02/01/2024","02/01/2024","160","Unstable Solvent","77","Raised","[REDACTED]","26/01/2024"
"consumables","USD","","","13/08/2024","13/08/2024","161","Mass-Produced Filter","32","Raised","BulkChem Inc","17/09/2024"
"equipment","JPY","","","23/01/2024","23/01/2024","162","Precision Sensor","39","Raised","LabTech Solutions","20/02/2024"
"reference","GBP","","","15/11/2024","15/11/2024","163","TEST ITEM - DO NOT USE","29","Raised","SYSTEM_TEST","17/11/2024"
"reference","GBP","","16/11/2024","16/11/2024","15/11/2024","163","TEST ITEM - DO NOT USE","29","Dispatched","SYSTEM_TEST","17/11/2024"
"reference","GBP","17/11/2024","16/11/2024","17/11/2024","15/11/2024","163","TEST ITEM - DO NOT USE","29","Delivered","SYSTEM_TEST","17/11/2024"
"consumables","USD","","","16/10/2024","16/10/2024","164","Suspiciously Cheap Solvent","96","Raised","[REDACTED]","09/11/2024"
"consumables","USD","","28/10/2024","28/10/2024","16/10/2024","164","Suspiciously Cheap Solvent","96","Dispatched","[REDACTED]","09/11/2024"
"consumables","USD","10/11/2024","28/10/2024","10/11/2024","16/10/2024","164","Suspiciously Cheap Solvent","96","Delivered","[REDACTED]","09/11/2024"
"reference","GBP","","","10/06/2024","10/06/2024","165","TEST ITEM - DO NOT USE","27","Raised","SYSTEM_TEST","12/06/2024"
"reference","GBP","","11/06/2024","11/06/2024","10/06/2024","165","TEST ITEM - DO NOT USE","27","Dispatched","SYSTEM_TEST","12/06/2024"
"consumables","GBP","","","03/09/2024","03/09/2024","166","High-Grade Solvent","99","Raised","ChemSupply Ltd","11/09/2024"
"consumables","GBP","","05/09/2024","05/09/2024","03/09/2024","166","High-Grade Solvent","99","Dispatched","ChemSupply Ltd","11/09/2024"
"consumables","GBP","08/09/2024","05/09/2024","08/09/2024","03/09/2024","166","High-Grade Solvent","99","Delivered","ChemSupply Ltd","11/09/2024"
"consumables","GBP","","","14/04/2024","14/04/2024","167","Regular Reagent","34","Raised","ChemSupply Ltd","22/04/2024"
"equipment","JPY","","","14/04/2024","14/04/2024","168","Hyper Sensor","35","Raised","LabTech Solutions","12/05/2024"
"equipment","JPY","","","28/11/2024","28/11/2024","169","Ultra Probe","53","Raised","LabTech Solutions","26/12/2024"
"equipment","JPY","","03/12/2024","03/12/2024","28/11/2024","169","Ultra Probe","53","Dispatched","LabTech Solutions","26/12/2024"
"equipment","JPY","28/12/2024","03/12/2024","28/12/2024","28/11/2024","169","Ultra Probe","53","Delivered","LabTech Solutions","26/12/2024"
"reference","GBP","","","23/09/2024","23/09/2024","170","TEST ITEM - DO NOT USE","36","Raised","SYSTEM_TEST","25/09/2024"
"reference","GBP","","24/09/2024","24/09/2024","23/09/2024","170","TEST ITEM - DO NOT USE","36","Dispatched","SYSTEM_TEST","25/09/2024"
"reference","GBP","","","26/10/2024","26/10/2024","171","TEST ITEM - DO NOT USE","81","Raised","SYSTEM_TEST","28/10/2024"
"reference","GBP","","27/10/2024","27/10/2024","26/10/2024","171","TEST ITEM - DO NOT USE","81","Dispatched","SYSTEM_TEST","28/10/2024"
"consumables","USD","","","21/02/2024","21/02/2024","172","Unstable Reagent","17","Raised","[REDACTED]","16/03/2024"
"equipment","JPY","","","20/07/2024","20/07/2024","173","Ordinary Sensor","97","Raised","LabTech Solutions","17/08/2024"
"equipment","JPY","","27/07/2024","27/07/2024","20/07/2024","173","Ordinary Sensor","97","Dispatched","LabTech Solutions","17/08/2024"
"equipment","JPY","14/08/2024","27/07/2024","14/08/2024","20/07/2024","173","Ordinary Sensor","97","Delivered","LabTech Solutions","17/08/2024"
"equipment","JPY","","","29/05/2024","29/05/2024","174","Ultra Sensor","64","Raised","LabTech Solutions","26/06/2024"
"equipment","JPY","","","02/08/2024","02/08/2024","175","Ultra Calibrator","67","Raised","LabTech Solutions","30/08/2024"
"equipment","JPY","","09/08/2024","09/08/2024","02/08/2024","175","Ultra Calibrator","67","Dispatched","LabTech Solutions","30/08/2024"
"consumables","GBP","","","14/05/2024","14/05/2024","176","Regular Filter","56","Raised","ChemSupply Ltd","22/05/2024"
"consumables","GBP","","17/05/2024","17/05/2024","14/05/2024","176","Regular Filter","56","Dispatched","ChemSupply Ltd","22/05/2024"
"consumables","GBP","22/05/2024","17/05/2024","22/05/2024","14/05/2024","176","Regular Filter","56","Delivered","ChemSupply Ltd","22/05/2024"
"reference","GBP","","","05/10/2024","05/10/2024","177","TEST ITEM - DO NOT USE","15","Raised","SYSTEM_TEST","07/10/2024"
"reference","GBP","","06/10/2024","06/10/2024","05/10/2024","177","TEST ITEM - DO NOT USE","15","Dispatched","SYSTEM_TEST","07/10/2024"
"reference","GBP","07/10/2024","06/10/2024","07/10/2024","05/10/2024","177","TEST ITEM - DO NOT USE","15","Delivered","SYSTEM_TEST","07/10/2024"
"consumables","USD","","","30/07/2024","30/07/2024","178","Bargain Reagent","32","Raised","BulkChem Inc","03/09/2024"
"consumables","USD","","19/08/2024","19/08/2024","30/07/2024","178","Bargain Reagent","32","Dispatched","BulkChem Inc","03/09/2024"
"consumables","USD","08/09/2024","19/08/2024","08/09/2024","30/07/2024","178","Bargain Reagent","32","Delivered","BulkChem Inc","03/09/2024"
"equipment","JPY","","","11/02/2024","11/02/2024","179","Hyper Sensor","51","Raised","LabTech Solutions","10/03/2024"
"equipment","JPY","","19/02/2024","19/02/2024","11/02/2024","179","Hyper Sensor","51","Dispatched","LabTech Solutions","10/03/2024"
